FRESH AND MORE SUPERMARKET - WEBSITE,,,,,,,,,
Identified by,Aiswarya M,,,,,,,,
Reported to,Reeja,,,,,,,,
Date ,31-03-2023,,,,,,,,
Version no:,,,,,,,,,
Environment details,https://freshandmoresupermarkets.com/,,,,,,,,
Bug ID,Expected Result,Bug Description,Steps to reproduce,Severity,Priority,Screenshots,Status,,
DEF_FRESH_01,Department menu should navigate to new page and display the different departments in the supermarket,Department menu is not navigating to new page and also not displaying any details ,"1.Open the website
2.Click on the ""Department"" menu",Medium,Low,https://1drv.ms/i/s!Ao3P6dgeaMd0hHeapc-fKwFvzLvo?e=mzYnYP,NEW,,
DEF_FRESH_02,"News menu should navigate to new page and display the news , activity details happened in supermarket",News menu  is not navigating to new page and also not displaying any details ,"1.Click on the ""News"" menu
2.Check if it navigate and displays new page",Medium,Low,https://1drv.ms/i/s!Ao3P6dgeaMd0hHeapc-fKwFvzLvo?e=9N1F6J,NEW,,
DEF_FRESH_03,Blog menu should navigate to new page and display the blog about supermarket,blog menu  is not navigating to new page and also not displaying any details ,"1.Click on the ""Blog"" menu
2.Check if it navigate and displays new page",Medium,Low,https://1drv.ms/i/s!Ao3P6dgeaMd0hHeapc-fKwFvzLvo?e=mcMVJo,NEW,,
DEF_FRESH_04,Location menu should navigate to new page and display the location of supermarket,Location menu  is not navigating to new page and also not displaying any location,"1.Click on the ""locaton"" menu
2.Check if it navigate and displays new page",Major,High,https://1drv.ms/i/s!Ao3P6dgeaMd0hHeapc-fKwFvzLvo?e=lhpQ9a,NEW,,
DEF_FRESH_05,All categories of products should display under hamburger.,No proper categorization of products,"Click on the ""All departments"" ",Critical,High,https://1drv.ms/i/s!Ao3P6dgeaMd0hHwzx7Uf1c6OlIpk?e=N3Xgbs,NEW,,
DEF_FRESH_06,"""Readmore"" should display more about Fresh and more supermarket","""Readmore"" button is not showing any further details about supermarket.","Click on the ""Readmore"" button",Low,Low,https://1drv.ms/i/s!Ao3P6dgeaMd0hH75dmpUBYRxmaZ3?e=IkatY9,NEW,,
DEF_FRESH_07,Testimonial should display different clients opinion when user clicks on dots,Displaying same texts for all the clients,Click on any of the three dots and check,Low,High,https://1drv.ms/i/s!Ao3P6dgeaMd0hH-lxG3rVhvZgkVs?e=TBogpA,NEW,,
DEF_FRESH_08,Search bar should display the user searched item,"No items and services displayed .All searhces resulted in ""No products were found matching your selection."" - message","1.Click on the search bar
2.Type any product.
3.Click on the search icon",Critical,High,https://1drv.ms/i/s!Ao3P6dgeaMd0hQDzRvxwlx8yEfkO?e=mNvzse,NEW,,
DEF_FRESH_09,"Registeration link should be available for new user when user clicks on ""Login/Register"" in home page",There is no registeration link for new user,"1Click on the ""Login/Register"" 
2.Check for ""New user registration""",Critical,High,https://1drv.ms/i/s!Ao3P6dgeaMd0hQEK53hoQ_FrVnUf?e=ad1odP,NEW,,
DEF_FRESH_10,User should be able to add item in cart,"There is no products suggestions and displays ""No products were found matching your selection."" without user inputs","1.Click on the cart
2.Click on ""Return to shop
3.Check for products",Critical,High,https://1drv.ms/i/s!Ao3P6dgeaMd0hQIJHHwlIbVjRs_N?e=9jWKdb,NEW,,
DEF_FRESH_11,"Online product/service details should display in ""Cart"" page",Online shopping options like products/services/add to cart not available anywhere in the site,"1.Check for services
2.Check for ""add to cart"" on cart page",Critical,High,https://1drv.ms/i/s!Ao3P6dgeaMd0hQONW50sNOMtm_ov?e=cpz3AQ,NEW,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
